id;payment_number;payment_date;dealer_name;payment_amount;payment_category
1;Soap killer;2021-07-01;Gabon Checking Music;44370;wireless Buckinghamshire
2;Tools implementation product;2021-07-01;Factors Automotive digital;9932;Belarussian
3;Wooden;2021-07-01;Baby bandwidth;39104;Functionality
4;transmit;2021-07-01;bandwidth Secured;24324;target Accountability
5;compressing Vermont;2021-07-01;back-end Interactions;55468;Designer transmit fuchsia
6;Metal GB Music;2021-06-30;Pass;86327;Reunion
7;connecting Netherlands connecting;2021-07-01;Illinois and;17239;Avon Virginia Lari
8;Cheese reboot Borders;2021-06-30;supply-chains;79024;hour
9;Supervisor Alaska Brunei;2021-07-01;payment feed methodology;22127;expedite Fantastic THX
10;e-business program Market;2021-07-01;hack Incredible program;90687;neural-net back-end Algerian
